Age,Financial Status,Has a Laptop,Type of Internet Connection,CC100,CC101,CC102,CS111/IT112,English Prof,Reading Compre,Science Process,Quantitative,Abstract,CET OAPR,SHS/HS GPA,ABM/BAM,GAS,HUMSS,STEM,Sports Track,TVL-HE,TVL-ICT,Female,Male,Prefer not to say,2018,2019,2020,2021,label
22,5,2,2,7,6,6,7,41.05,30.03,29.96,44.18,79.78,42.52,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
24,1,2,1,3,2,6,5,61.05,48.4,85.06,89.31,53.29,72.43,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
21,1,2,2,9,7,7,7,49.95,71.99,80.93,34.54,72.9,64.72,89.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
22,0,0,2,6,9,2,8,89.71,77.12,36.55,34.54,72.9,78.81,84.4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
23,1,2,2,8,9,7,8,95.51,71.99,93.41,44.8,87.72,92.03,91.06,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
23,2,2,2,5,4,6,6,68.5,66.85,59.25,84.63,83.75,76.07,89.5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
22,0,0,1,6,7,3,5,74.8,35.7,72.66,34.54,26.06,61.37,89.5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
21,0,0,1,6,8,7,10,78.85,82.26,80.93,70.61,91.68,84.88,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
22,3,0,1,6,8,7,8,94.11,87.4,94.84,63.45,83.75,93.22,90.75,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
23,1,0,2,3,6,6,6,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
23,4,2,2,6,5,5,6,84.91,61.11,36.55,79.96,83.75,79.72,89.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
24,1,2,1,5,4,5,6,49.95,87.4,66.81,84.63,72.9,72.43,89.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
22,0,2,2,4,3,1,7,70.75,71.99,72.66,96.87,20.6,77.9,89.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
22,0,2,1,6,8,5,6,83.47,77.12,51.68,84.63,72.9,82.12,91.22,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
22,0,2,2,8,9,7,9,94.11,87.7,85.06,63.45,87.72,93.85,94.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
24,1,0,2,7,8,9,7,37.99,48.4,66.81,84.63,87.72,63.6,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
24,1,0,1,7,6,6,6,76.83,71.99,89.19,84.63,33.69,80.63,89.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
23,4,2,1,6,6,5,6,83.47,71.99,85.06,92.22,72.9,86.95,89.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
22,3,2,2,7,9,5,10,84.91,94.82,51.68,75.28,63.1,84.19,92.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
22,1,2,1,8,8,6,7,89.71,42.05,59.25,44.18,33.69,73.34,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
23,3,2,1,6,3,5,8,70.75,82.26,29.96,92.22,53.29,74.25,89.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
22,1,2,2,5,5,6,7,86.35,98.7,94.84,70.61,63.1,91.08,89.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
24,2,2,1,7,5,7,8,94.81,90.94,93.41,89.31,97.87,96.17,89.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
24,2,0,1,5,5,5,6,84.91,90.94,93.41,92.22,83.75,92.03,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
22,1,2,1,8,6,3,6,91.83,82.26,91.97,24.91,91.68,89.65,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
21,0,0,1,7,8,7,7,92.71,96.76,93.41,94.54,99.28,97.27,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
25,1,2,2,4,5,8,3,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
20,0,2,2,7,7,1,3,84.91,48.4,97.72,70.61,43.49,83.5,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
23,1,0,1,7,7,6,3,58.56,77.12,51.68,79.96,91.68,74.25,93.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
23,0,2,2,7,7,3,9,94.11,87.4,51.68,53.82,91.68,89.17,87.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
23,2,1,1,7,5,6,7,70.75,35.7,85.06,79.96,72.9,74.25,89.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
24,2,2,2,6,7,6,7,66.01,90.94,89.19,98.63,79.78,89.65,95.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
22,0,2,2,3,2,6,4,84.91,61.11,80.93,79.96,72.9,83.5,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
22,0,2,1,8,9,9,6,84.91,71.99,66.81,92.22,98.34,89.17,90.59,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
22,2,1,1,6,5,7,9,74.8,25.06,59.25,44.18,43.49,60.09,87.24,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
22,1,0,1,7,7,7,7,78.85,71.99,89.19,75.28,15.15,76.98,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
23,1,1,1,5,7,4,4,88.66,61.11,76.79,18.16,79.78,79.72,88.94,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
23,1,2,2,3,5,2,2,66.01,54.75,51.68,44.18,91.68,68.07,82.69,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0,1,0,1,7,7,7,0,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
23,2,2,2,6,4,7,7,92.02,71.99,66.81,75.28,83.75,92.12,86.58,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
23,1,0,2,5,4,3,7,72.78,90.94,93.41,53.82,83.75,84.19,89.5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
22,0,0,0,8,9,5,10,90.77,82.26,13.15,94.54,72.9,85.57,87.83,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
22,3,0,1,5,6,6,7,90.77,90.94,66.81,44.18,97.87,89.17,90.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
21,1,2,2,9,7,1,2,70.75,82.26,85.06,18.16,87.72,76.98,89.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
21,2,2,1,6,4,6,7,55.84,48.4,59.25,63.45,72.9,61.37,91.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
22,1,2,2,5,9,2,10,93.41,98.7,85.06,98.29,91.68,97.09,93.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
21,3,0,0,9,7,8,5,93.41,98.7,97.72,94.54,97.87,97.64,89.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
22,4,2,2,3,4,5,8,61.05,71.99,51.68,34.54,43.49,60.09,88.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
21,2,2,2,5,8,2,8,94.81,90.94,93.41,79.96,87.72,94.79,92.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
21,0,2,1,2,7,7,7,76.83,77.12,59.25,34.54,15.15,65.83,89.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
23,2,2,2,6,7,8,9,58.56,92.88,72.66,53.82,79.78,74.25,90.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
22,1,2,2,9,6,8,9,83.47,77.12,51.68,18.16,43.49,71.42,91.93,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
22,3,0,1,3,8,2,9,47.0,90.94,72.66,97.62,95.65,83.5,91.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
22,2,2,1,6,5,7,7,61.05,25.06,59.25,70.61,72.9,60.09,88.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
23,1,0,1,6,5,7,5,78.85,77.12,76.79,18.16,63.1,74.25,89.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,3,2,1,9,7,8,8,55.84,87.4,80.93,70.61,53.29,72.43,90.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
21,2,2,2,8,9,9,10,34.94,66.85,76.79,53.82,83.75,61.37,87.2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
21,3,0,1,9,7,8,10,72.78,82.26,59.25,53.82,72.9,74.25,93.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
23,0,1,0,4,4,5,7,72.78,66.85,29.96,34.54,33.69,60.09,82.1705,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
21,3,2,2,5,2,6,0,76.83,71.99,66.81,70.61,53.29,75.16,90.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
23,2,0,2,7,6,6,10,63.53,77.12,93.41,79.96,54.29,78.81,89.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
22,3,2,1,8,8,7,7,90.77,90.94,85.06,89.31,87.72,92.9,90.44,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
21,0,2,2,8,8,4,8,83.47,94.82,89.19,70.61,96.65,90.6,84.56,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
23,1,2,2,5,5,6,8,83.47,90.94,51.68,70.61,79.78,82.81,90.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
21,2,2,2,8,8,6,9,94.11,96.76,93.41,95.71,91.68,96.9,94.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
22,2,0,2,8,5,8,8,52.9,71.99,44.12,53.82,63.1,60.09,88.35,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
21,1,0,1,4,7,7,9,84.91,71.99,85.06,18.16,79.78,80.63,93.25,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
21,0,0,0,7,8,2,6,89.71,96.76,91.97,94.54,53.29,93.53,87.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
23,2,1,2,7,6,7,9,44.05,90.94,72.66,79.96,72.9,71.42,89.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
22,3,2,0,9,5,2,7,76.83,71.99,44.12,24.91,83.75,71.42,87.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
